usercode	date when happened	channel where called	reason for calling	status of this	assigned to	report-id
<@!674857390801420340>	2020-07-06 06:18:53.689134	bot-commands		unsolved	no assignee	1
<@301847661181665280>	2021-02-11 17:34:14.138949	Direct Message with ElMustacho#7532	 we technically have modmail	unsolved	no assignee	2
<@287945009838292993>	2021-05-24 18:43:09.261282	Direct Message with ザカリー・Zac#2004	 test	unsolved	no assignee	3
<@631031114768842752>	2021-05-24 18:43:12.941486	Direct Message with night#3310	 test	unsolved	no assignee	4
<@628410380817006603>	2021-05-24 18:43:15.300195	Direct Message with saltedsweets#4728	 test	unsolved	no assignee	5
<@213706767031468033>	2021-05-27 15:34:18.102981	Direct Message with obafgkm#7789	 test	unsolved	no assignee	6
<@287945009838292993>	2021-05-27 17:58:44.953527	off_topic	 bullied by pizza 😢	unsolved	no assignee	7
<@!301847661181665280>	2021-05-28 17:22:45.924484	bot-stuff-but-private	 something	unsolved	no assignee	8
