usercode	date when happened	channel where called	reason for calling	status of this	assigned to	report-id
<@301847661181665280>	2019-11-29 23:09:42.091513	Direct Message with ElMustacho#7532	pssst, it's a secret	unsolved	nobody	3
<@301847661181665280>	2019-12-06 19:06:49.271293	Direct Message with ElMustacho#7532	helloworld	unsolved	no assignee	4
<@!301847661181665280>	2019-12-12 14:29:06.799915	bot-channel-beta-development	 get a lot of catfood	solved	<@275746831533867020>	5
<@275746831533867020>	2019-12-12 15:41:39.946261	Direct Message with TheXientist#7112	 i am being held hostage	solved	<@275746831533867020>	6
